,epoch_train_loss
0,0.966555262279765
1,0.9517792885350745
2,0.9466095263274704
3,0.9431351064636213
4,0.940677916930943
5,0.9390469368865214
6,0.9380529923546241
7,0.9365029893270354
8,0.935681699852391
9,0.934784495594298
10,0.9345322143513618
11,0.9338956186139002
12,0.933284594718276
13,0.9332971483241858
14,0.9324609161104734
15,0.9322398624769072
16,0.9320603442628209
17,0.931622111820048
18,0.9315466444076198
19,0.9313618441044194
20,0.9309180449194661
21,0.9305936618957941
22,0.9305139664015392
23,0.9303398928627735
24,0.9302044682068432
25,0.929969532560648
26,0.9295913588937099
27,0.9296158531862425
28,0.9291441629527182
29,0.9291862753924073
30,0.9286989648621984
31,0.9284560596434082
32,0.9282753373019216
33,0.9284849142383148
34,0.9279292241920059
35,0.9275835028327093
36,0.9274174141356858
37,0.9268053129497098
38,0.9270196656174049
39,0.9266949695784871
40,0.9263625910823665
41,0.9259766606977436
42,0.9258252140270864
43,0.9258831659286487
44,0.9256044318899512
45,0.9252801696883469
46,0.9249548472554945
47,0.9245975159517512
48,0.9243532288228956
49,0.9242612902256774
50,0.923994767179758
51,0.923494897723743
52,0.9232547763326182
53,0.9230732697766365
54,0.9230142663710001
55,0.9222467242126785
56,0.9224166635696481
57,0.9221421733498574
58,0.9217501786605614
59,0.9211284380406142
60,0.9207305568838264
61,0.9205562166051894
62,0.9202151104080968
63,0.9199386889478419
64,0.9194062580059215
65,0.9190291453516338
66,0.918810358911571
67,0.9183022052867383
68,0.917657185209597
69,0.9176156476685187
70,0.9170945764223977
71,0.9167657908960813
72,0.9161769569737882
73,0.9161279350973484
74,0.9154688896429611
75,0.9150112310288155
76,0.9144709411917663
77,0.9139273169564037
78,0.9137859900368424
79,0.9134592812235762
80,0.912688656805492
81,0.9119499478761742
82,0.9116562707395088
83,0.910790952558561
84,0.9102754261617253
85,0.9099278085842365
86,0.9087941815849484
87,0.9086304809716417
88,0.9080389800322491
89,0.9074389543020871
90,0.906837682444148
91,0.9061935391549657
92,0.905553167031669
93,0.9049686461596227
94,0.9043334984743013
95,0.9035640013381475
96,0.9029234929873449
97,0.9021483918515647
98,0.901310924395192
99,0.9006318787885148
100,0.9001639934665546
101,0.8992495949584537
102,0.898417492574308
103,0.8973846947910582
104,0.8968613346629754
105,0.8962274986977984
106,0.8952647681461602
107,0.8941890575718588
108,0.8934819344431162
109,0.8929811015906858
110,0.8920929249921223
111,0.8910453130650084
112,0.8902176777764065
113,0.8892173474154821
114,0.8882065386034367
115,0.8873811976756991
116,0.8866389199091894
117,0.8852431918335397
118,0.8848246261568331
119,0.8839289806238035
120,0.88199276468921
121,0.8818061642530488
122,0.8803931097250159
123,0.8801584685448466
124,0.878616210854635
125,0.8780529108352777
126,0.8773953374020937
127,0.8758169928974495
128,0.8746081314799262
129,0.8732593597344509
130,0.87345689586023
131,0.8729534324258565
132,0.8713142309428715
133,0.8705106238857275
134,0.8699984549840049
135,0.8689311217880104
136,0.8670471604731752
137,0.8663552585807516
138,0.8658185781502142
139,0.8646572384619858
140,0.8629391312144878
141,0.8625050291600751
142,0.8615103136838936
143,0.8607756064614145
144,0.8592641646905643
145,0.8585423437560477
146,0.857905080014976
147,0.8575442818788493
148,0.8553497017974534
149,0.8554622699938169
150,0.8539482753905582
151,0.8519414773165452
152,0.8518617782741785
153,0.8503037944708656
154,0.8501509695609168
155,0.8490839132539383
156,0.8474512570514912
157,0.846858406003292
158,0.8454585406838394
159,0.8441387205679969
160,0.8433164859781178
161,0.841990012957192
162,0.8414310829123346
163,0.8405279514266224
164,0.8396611125458304
165,0.8386526161577643
166,0.8376608035277303
167,0.8372415194515048
168,0.8354710579009318
169,0.8355260508271253
170,0.8322928317345497
171,0.8329272231950265
172,0.8305053738831747
173,0.8307930762629684
174,0.8299490391935517
175,0.8285821908948625
176,0.8274623106347352
177,0.8263481682393609
178,0.8253635022062354
179,0.8240603385356868
180,0.8241299827015255
181,0.8220719173641466
182,0.8202779072086985
183,0.8194784631725491
184,0.8188438627505448
185,0.8177292257365657
186,0.8162846453306152
187,0.816673510112777
188,0.813694038151241
189,0.8136925273461313
190,0.8116975496273215
191,0.8115343587155023
192,0.8100206874583552
193,0.8095865504589023
194,0.8065928071101264
195,0.8068633210640855
196,0.8055122461805984
197,0.8041409952974901
198,0.8028316012697249
199,0.803408170128014
